year,seed,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
1990_1992,0,94.51,94.09,94.93,94.96,94.05
1990_1992,1,95.21,95.31,95.12,94.82,95.58
1990_1992,2,94.85,94.7,95.0,94.61,95.08
1990_1992,3,94.62,94.26,94.99,95.12,94.11
1990_1992,4,94.86,95.06,94.67,94.48,95.24
1990_1992,5,94.97,94.53,95.37,94.94,94.99
1990_1992,6,95.47,95.5,95.43,95.42,95.51
1990_1992,7,94.57,94.78,94.37,93.9,95.19
1990_1992,8,94.81,95.12,94.5,94.37,95.24
1990_1992,9,95.03,95.73,94.34,94.28,95.78
1993_1995,0,94.54,93.95,95.14,95.18,93.9
1993_1995,1,94.31,94.12,94.5,94.67,93.94
1993_1995,2,94.96,95.25,94.65,94.95,94.97
1993_1995,3,94.41,93.61,95.22,95.17,93.67
1993_1995,4,94.9,93.51,96.35,96.4,93.41
1993_1995,5,94.17,93.63,94.71,94.63,93.73
1993_1995,6,94.28,94.17,94.39,94.33,94.23
1993_1995,7,94.41,94.32,94.48,94.32,94.48
1993_1995,8,94.42,93.7,95.13,94.97,93.89
1993_1995,9,94.13,93.85,94.41,94.4,93.86
1996_1998,0,95.04,94.68,95.41,95.47,94.61
1996_1998,1,93.72,94.41,93.05,92.97,94.48
1996_1998,2,94.32,94.39,94.24,94.07,94.55
1996_1998,3,94.41,94.22,94.61,94.83,93.97
1996_1998,4,93.65,92.93,94.4,94.49,92.82
1996_1998,5,94.77,95.22,94.33,94.21,95.32
1996_1998,6,94.59,94.53,94.65,94.77,94.41
1996_1998,7,94.34,94.89,93.82,93.57,95.09
1996_1998,8,93.01,91.63,94.49,94.66,91.37
1996_1998,9,93.9,93.91,93.89,94.15,93.65
1999_2001,0,93.69,93.76,93.61,94.05,93.3
1999_2001,1,93.91,93.15,94.7,94.75,93.08
1999_2001,2,93.73,93.05,94.41,94.35,93.12
1999_2001,3,93.99,92.98,95.06,95.21,92.76
1999_2001,4,92.97,92.96,92.98,93.04,92.9
1999_2001,5,93.93,93.4,94.45,94.28,93.6
1999_2001,6,94.25,94.69,93.81,94.07,94.45
1999_2001,7,93.9,94.4,93.37,93.71,94.1
1999_2001,8,93.24,92.63,93.84,93.63,92.86
1999_2001,9,93.16,92.56,93.75,93.51,92.83
2002_2004,0,93.08,92.41,93.74,93.7,92.47
2002_2004,1,93.97,92.61,95.46,95.68,92.24
2002_2004,2,94.15,93.87,94.45,94.84,93.41
2002_2004,3,93.74,93.9,93.57,93.51,93.96
2002_2004,4,94.23,93.09,95.37,95.29,93.21
2002_2004,5,93.81,93.71,93.9,93.95,93.66
2002_2004,6,93.46,92.73,94.23,94.39,92.53
2002_2004,7,92.96,92.23,93.73,93.96,91.94
2002_2004,8,93.48,92.3,94.68,94.68,92.31
2002_2004,9,93.62,92.33,94.97,95.02,92.25
2005_2007,0,94.09,93.48,94.69,94.51,93.69
2005_2007,1,93.78,93.75,93.82,94.21,93.33
2005_2007,2,94.93,94.53,95.34,95.4,94.45
2005_2007,3,94.07,94.16,93.99,94.0,94.14
